Абрамова Алиса Артёмовна, 1997 года рождения, 1 курс, 7 группа
Ананьев Андрей Данилович, 2008 года рождения, 1 курс, 5 группа
Андреев Овидий Тимурович, 2007 года рождения, 1 курс, 2 группа
Андреева Мария Фёдоровна, 1990 года рождения, 1 курс, 8 группа
Антонов Валерий Николаевич, 1996 года рождения, 1 курс, 3 группа
Беляев Эмиль Ильич, 1997 года рождения, 1 курс, 3 группа
Беляева Нега Михайловна, 2007 года рождения, 1 курс, 3 группа
Богданов Михаил Артурович, 2005 года рождения, 1 курс, 10 группа
Винокурова Аврора Алексеевна, 1993 года рождения, 1 курс, 4 группа
Волкова Милана Игоревна, 2001 года рождения, 1 курс, 4 группа
Воробьева Софья Антоновна, 2001 года рождения, 1 курс, 5 группа
Воронова Софья Данииловна, 1996 года рождения, 1 курс, 9 группа
Гришина Рая Тихоновна, 1990 года рождения, 1 курс, 3 группа
Гурова Анастасия Александровна, 2005 года рождения, 1 курс, 9 группа
Гусев Даниил Святославович, 1996 года рождения, 1 курс, 9 группа
Гусева Арина Юрьевна, 2002 года рождения, 1 курс, 1 группа
Данилов Алексей Арсентьевич, 2002 года рождения, 1 курс, 5 группа
Дмитриев Савва Миронович, 1998 года рождения, 1 курс, 8 группа
Евдокимова Вероника Кирилловна, 1995 года рождения, 1 курс, 7 группа
Еремин Артём Семёнович, 2000 года рождения, 1 курс, 2 группа
Ершова Екатерина Максимовна, 2007 года рождения, 1 курс, 4 группа
Ефимов Илья Николаевич, 1999 года рождения, 1 курс, 8 группа
Ефимова Милана Владиславовна, 2006 года рождения, 1 курс, 6 группа
Жуков Артём Дмитриевич, 1998 года рождения, 1 курс, 9 группа
Зайцев Егор Артемович, 1997 года рождения, 1 курс, 6 группа
Зайцева Полианна Михаиловна, 2001 года рождения, 1 курс, 2 группа
Зиновьев Клим Даниилович, 2009 года рождения, 1 курс, 8 группа
Зубков Сергей Александрович, 1995 года рождения, 1 курс, 4 группа
Зубов Роман Юрьевич, 2010 года рождения, 1 курс, 7 группа
Зуева Ксения Георгиевна, 1992 года рождения, 1 курс, 6 группа
Исакова Виктория Ярославовна, 1998 года рождения, 1 курс, 2 группа
Казакова Дарья Александровна, 2007 года рождения, 1 курс, 4 группа
Казакова Елизавета Егоровна, 1996 года рождения, 1 курс, 5 группа
Калашников Иван Христофорович, 2008 года рождения, 1 курс, 1 группа
Кириллов Глеб Маркович, 1993 года рождения, 1 курс, 6 группа
Климова Валерия Глебовна, 2000 года рождения, 1 курс, 5 группа
Ковалева Алёна Павловна, 2005 года рождения, 1 курс, 3 группа
Ковалева Диана Павловна, 2004 года рождения, 1 курс, 9 группа
Комарова Нина Егоровна, 1996 года рождения, 1 курс, 3 группа
Константинов Евгений Федотович, 2001 года рождения, 1 курс, 4 группа
Королев Иван Алексеевич, 2003 года рождения, 1 курс, 7 группа
Котова Варвара Денисовна, 1993 года рождения, 1 курс, 1 группа
Кошелева Инесса Макаровна, 2005 года рождения, 1 курс, 5 группа
Крючков Илья Михайлович, 1997 года рождения, 1 курс, 7 группа
Лавров Даниил Иванович, 2005 года рождения, 1 курс, 2 группа
Лебедева Варвара Робертовна, 1995 года рождения, 1 курс, 10 группа
Лукин Марк Андреевич, 1999 года рождения, 1 курс, 5 группа
Лыкова Елизавета Владимировна, 1993 года рождения, 1 курс, 8 группа
Матвеев Иван Андреевич, 2002 года рождения, 1 курс, 2 группа
